usd_xr,date
63.72950000,2019-11-11
63.91210000,2019-11-12
63.85300000,2019-11-13
64.20090000,2019-11-14
64.21010000,2019-11-15
63.88810000,2019-11-16
63.88810000,2019-11-17
63.88810000,2019-11-18
63.75420000,2019-11-19
63.77300000,2019-11-20
64.02130000,2019-11-21
63.84300000,2019-11-22
63.71010000,2019-11-23
63.71010000,2019-11-24
63.71010000,2019-11-25
63.76370000,2019-11-26
64.02390000,2019-11-27
63.97220000,2019-11-28
64.10050000,2019-11-29
64.08170000,2019-11-30
64.08170000,2019-12-01
64.08170000,2019-12-02
64.40970000,2019-12-03
64.14010000,2019-12-04
64.19480000,2019-12-05
63.81350000,2019-12-06
63.71850000,2019-12-07
63.71850000,2019-12-08
63.71850000,2019-12-09
63.72440000,2019-12-10
